session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
l21,U,0,0,0,0,0,-864,1672,13608,-559,-165,-159
l21,U,0,0,0,0,0,-792,1628,13804,-601,-162,-162
l21,U,0,0,0,0,0,-892,1584,13880,-628,-107,-145
l21,U,0,0,0,0,0,-760,1684,13940,-546,-200,-130
l21,U,0,0,0,0,0,-884,1580,13664,-555,-150,-148
l21,U,0,0,0,0,0,-764,1556,13724,-622,-154,-154
l21,U,0,0,0,0,0,-752,1512,13676,-484,-182,-190
l21,U,0,0,0,0,0,-708,1604,13860,-563,-144,-158
l21,U,0,0,0,0,0,-804,1604,13848,-586,-156,-142
l21,U,0,0,0,0,0,-856,1576,13648,-581,-171,-138
l21,U,0,0,0,0,0,-836,1648,13876,-580,-142,-185
l21,U,0,0,0,0,0,-856,1524,13780,-575,-156,-173
l21,U,0,0,0,0,0,-812,1584,13648,-586,-169,-158
l21,U,0,0,0,0,0,-908,1532,13940,-589,-137,-152
l21,U,0,0,0,0,0,-832,1548,13960,-628,-173,-163
l21,U,0,0,0,0,0,-828,1452,13844,-608,-177,-144
l21,U,0,0,0,0,0,-744,1644,13792,-569,-185,-145
l21,U,0,0,0,0,0,-788,1580,13816,-563,-160,-157
l21,U,0,0,0,0,0,-836,1552,13788,-604,-131,-149
l21,U,0,0,0,0,0,-764,1632,13848,-567,-163,-159
l21,U,0,0,0,0,0,-848,1612,13752,-593,-142,-156
l21,U,0,0,0,0,0,-892,1540,13860,-586,-148,-119
l21,U,0,0,0,0,0,-740,1572,13756,-587,-164,-175
l21,U,0,0,0,0,0,-860,1580,13740,-580,-154,-139
l21,U,0,0,0,0,0,-912,1640,13800,-576,-127,-166
l21,U,0,0,0,0,0,-760,1572,13744,-598,-133,-139
l21,U,0,0,0,0,0,-804,1560,13976,-597,-148,-157
l21,U,0,0,0,0,0,-776,1656,13724,-650,-145,-229
l21,U,0,0,0,0,0,-748,1596,13740,-568,-163,-140
l21,U,0,0,0,0,0,-784,1660,13804,-553,-143,-155
l21,U,0,0,0,0,0,-800,1676,13820,-578,-171,-175
l21,U,0,0,0,0,0,-820,1584,13788,-484,-187,-199
l21,U,0,0,0,0,0,-744,1584,13840,-561,-190,-157
l21,U,0,0,0,0,0,-788,1516,13796,-580,-166,-146
l21,U,0,0,0,0,0,-764,1356,14108,-708,-57,-202
l21,U,0,0,0,0,0,-864,1580,13780,-567,-146,-174
l21,U,0,0,0,0,0,-844,1576,13860,-586,-162,-161
l21,U,0,0,0,0,0,-884,1568,13632,-627,-147,-152
l21,U,0,0,0,0,0,-804,1520,13872,-582,-125,-157
l21,U,0,0,0,0,0,-840,1632,13780,-577,-119,-144
l21,U,0,0,0,0,0,-804,1504,13808,-564,-150,-153
l21,U,0,0,0,0,0,-812,1516,13760,-575,-159,-150
