session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
g1,Rest,0,0,0,0,0,-4380,-3088,12804,-667,-459,80
g1,Rest,0,0,0,0,0,-3912,-3136,12296,-1238,-371,685
g1,Rest,0,0,0,0,0,-3208,-2624,12928,-220,-452,1150
g1,Rest,0,0,0,0,0,-4236,-2972,12672,798,-647,658
g1,Rest,0,0,0,0,0,-4336,-2868,12588,-510,-186,720
g1,Rest,0,0,0,0,0,-3684,-2472,13620,-1298,178,97
g1,Rest,0,0,0,0,0,-3716,-2392,13240,-755,453,789
g1,Rest,0,0,0,0,0,-4356,-2568,12792,-143,-53,336
g1,Rest,0,0,0,0,0,-4116,-2224,13136,-312,-26,129
g1,Rest,0,0,0,0,0,-4484,-1952,13252,-232,-49,377
g1,Rest,0,0,0,0,0,-4208,-1944,12832,-218,23,258
g1,Rest,0,0,0,0,0,-4500,-1896,13040,-355,-400,-198
g1,Rest,0,0,0,0,0,-4384,-2096,13076,-111,-339,-186
g1,Rest,0,0,0,0,0,-4152,-1604,13012,-111,514,250
g1,Rest,0,0,0,0,0,-4408,-1864,13164,84,-24,29
g1,Rest,0,0,0,0,0,-4452,-1604,13016,-812,-383,-337
g1,Rest,0,0,0,0,0,-4552,-1720,12856,-395,-880,-509
g1,Rest,0,0,0,0,0,-3980,-1848,12952,-287,-233,-323
g1,Rest,0,0,0,0,0,-4128,-1680,13196,-75,-1163,-501
g1,Rest,0,0,0,0,0,-4180,-1948,12548,-1056,-529,-31
g1,Rest,0,0,0,0,0,-4208,-1920,12556,-1226,-154,-255
g1,Rest,0,0,0,0,0,-3520,-1624,13152,-882,-151,142
g1,Rest,0,0,0,0,0,-3732,-1764,13120,-6,-350,-54
g1,Rest,0,0,0,0,0,-3720,-2000,13516,-751,147,-248
g1,Rest,0,0,0,0,0,-3848,-1852,13416,-597,-148,-700
g1,Rest,0,0,0,0,0,-4192,-1704,12912,-680,-169,-362
g1,Rest,0,0,0,0,0,-4192,-1908,12760,-276,-386,-553
g1,Rest,0,0,0,0,0,-3964,-1836,12968,-96,-909,-1769
g1,Rest,0,0,0,0,0,-3576,-1152,13328,-110,-1110,-1588
g1,Rest,0,0,0,0,0,-2996,-1296,13212,-188,-435,-399
g1,Rest,0,0,0,0,0,-3220,-1520,12936,160,-269,222
