session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
rest,Rest,263.271,5.168,13.469,282.569,0.142,-0.037,-0.04,-1.0,0.209,0.157,-0.134
rest,Rest,692.962,3.759,9.837,196.232,0.103,-0.037,-0.041,-1.0,0.175,0.036,-0.272
rest,Rest,951.31,2.734,7.049,126.855,0.075,-0.037,-0.042,-1.0,0.098,0.065,-0.185
rest,Rest,815.311,1.989,4.875,83.749,0.055,-0.036,-0.043,-1.0,-0.03,-0.022,-0.267
rest,Rest,600.896,0.901,2.316,47.197,0.021,-0.036,-0.045,-1.0,0.002,0.048,-0.323
rest,Rest,404.578,1.053,2.287,322.865,0.029,-0.036,-0.047,-1.0,0.153,0.19,-0.292
rest,Rest,266.722,0.767,1.663,614.144,0.021,-0.037,-0.049,-1.0,0.086,0.221,-0.458
rest,Rest,176.406,0.558,1.209,550.128,0.015,-0.038,-0.05,-1.0,0.057,0.227,-0.438
rest,Rest,98.527,0.233,0.592,410.75,0.005,-0.04,-0.05,-1.0,0.062,0.114,-0.354
rest,Rest,90.247,0.296,1.497,282.155,0.008,-0.041,-0.052,-1.0,0.023,0.125,-0.489
rest,Rest,398.516,0.215,1.103,186.723,0.006,-0.041,-0.053,-1.0,0.185,0.149,-0.348
rest,Rest,800.031,0.157,0.805,120.884,0.004,-0.042,-0.055,-1.0,0.118,0.077,-0.282
rest,Rest,787.579,0.114,0.578,84.548,0.003,-0.042,-0.055,-1.0,0.064,0.099,-0.314
rest,Rest,574.653,0.083,0.402,67.722,0.002,-0.043,-0.054,-1.0,0.164,0.192,-0.181
rest,Rest,406.909,0.061,0.263,375.39,0.002,-0.043,-0.054,-1.0,0.096,0.046,-0.249
rest,Rest,271.933,0.044,0.191,544.796,0.001,-0.044,-0.053,-1.0,0.093,0.154,-0.291
rest,Rest,176.257,6.605,62.724,401.497,0.001,-0.044,-0.053,-1.0,0.132,0.142,-0.29
rest,Rest,592.059,232.957,123.195,289.858,45.439,-0.044,-0.051,-1.0,0.224,0.162,-0.135
rest,Rest,909.478,173.05,91.024,201.175,149.504,-0.044,-0.051,-1.0,0.09,0.068,-0.263
rest,Rest,762.215,126.589,65.904,129.438,264.465,-0.044,-0.05,-1.0,0.04,0.01,-0.329
rest,Rest,553.175,89.876,45.895,84.993,336.222,-0.043,-0.05,-1.0,-0.041,-0.05,-0.496
rest,Rest,388.247,60.23,29.593,194.354,258.138,-0.044,-0.051,-1.0,0.195,0.212,-0.334
rest,Rest,255.312,36.018,18.9,396.891,183.009,-0.045,-0.054,-1.0,0.209,0.181,-0.359
rest,Rest,167.547,26.165,13.73,539.72,124.605,-0.045,-0.057,-1.0,0.105,0.211,-0.417
rest,Rest,118.623,19.011,9.977,499.552,82.194,-0.046,-0.059,-1.0,0.116,0.233,-0.248
rest,Rest,86.2,64.111,7.25,439.255,54.64,-0.046,-0.061,-1.0,0.241,0.15,-0.153
rest,Rest,446.447,125.717,35.276,340.009,39.262,-0.047,-0.062,-1.0,0.221,0.077,-0.139
rest,Rest,817.979,244.873,93.285,294.007,28.53,-0.046,-0.064,-1.0,0.19,0.146,-0.071
rest,Rest,1134.033,270.616,72.724,226.361,68.459,-0.045,-0.064,-1.0,0.004,0.075,-0.293
rest,Rest,1286.043,311.292,52.913,208.221,210.284,-0.043,-0.064,-1.0,0.015,0.139,-0.18
rest,Rest,1151.457,223.747,37.246,166.623,333.944,-0.043,-0.063,-1.0,-0.121,0.1,-0.257
rest,Rest,814.127,156.359,24.585,138.168,272.389,-0.044,-0.062,-1.0,0.189,0.057,-0.312
rest,Rest,560.681,105.542,15.504,117.824,196.679,-0.045,-0.061,-1.0,0.27,0.159,-0.309
rest,Rest,340.438,61.77,8.822,75.365,134.058,-0.045,-0.061,-1.0,0.212,0.124,-0.253
rest,Rest,254.402,47.841,8.093,301.303,89.709,-0.044,-0.06,-1.0,0.146,0.045,-0.365
rest,Rest,190.816,34.761,55.892,595.81,58.56,-0.044,-0.06,-1.0,0.131,0.047,-0.215
rest,Rest,566.686,102.422,135.743,671.027,95.942,-0.043,-0.059,-1.0,0.012,0.312,-0.355
rest,Rest,1065.591,215.727,260.706,490.123,207.495,-0.043,-0.059,-1.0,0.136,0.196,-0.228
rest,Rest,1178.899,159.368,197.446,348.678,366.717,-0.044,-0.058,-1.0,0.119,0.206,-0.47
rest,Rest,861.683,115.696,142.317,235.171,340.358,-0.046,-0.058,-1.0,0.149,0.132,-0.543
rest,Rest,612.56,81.223,98.345,172.097,246.984,-0.048,-0.058,-1.0,0.104,0.151,-0.558
rest,Rest,413.445,53.422,64.798,127.759,192.583,-0.049,-0.059,-1.0,0.163,0.15,-0.273
rest,Rest,270.108,34.063,41.52,101.932,130.46,-0.049,-0.059,-1.0,0.073,0.133,-0.272
rest,Rest,145.512,19.357,23.782,61.893,74.629,-0.049,-0.057,-1.0,0.091,0.019,-0.42
rest,Rest,103.249,13.738,16.875,43.377,49.266,-0.048,-0.056,-1.0,0.224,0.297,-0.194
rest,Rest,73.29,9.755,11.979,29.475,34.385,-0.046,-0.056,-1.0,0.094,0.205,-0.285
rest,Rest,52.044,6.929,8.507,20.161,23.44,-0.046,-0.056,-1.0,0.158,0.201,-0.122
rest,Rest,36.972,4.924,6.044,13.884,16.644,-0.044,-0.055,-1.0,0.035,-0.015,-0.429
rest,Rest,26.275,3.5,4.295,9.868,11.822,-0.043,-0.054,-1.0,0.06,0.037,-0.332
rest,Rest,26.986,3.653,4.423,30.508,11.806,-0.041,-0.052,-1.0,-0.044,0.047,-0.438
rest,Rest,19.626,2.657,3.217,36.797,8.585,-0.041,-0.05,-1.0,-0.158,0.113,-0.57
rest,Rest,9.454,1.26,1.546,26.296,4.248,-0.042,-0.049,-1.0,0.323,-0.041,-0.355
rest,Rest,6.73,0.898,1.1,18.627,3.022,-0.041,-0.049,-1.0,0.34,-0.014,-0.141
rest,Rest,7.555,1.023,1.238,91.384,3.303,-0.041,-0.048,-1.0,-0.472,0.147,-0.294
rest,Rest,5.498,0.745,0.901,345.036,2.403,-0.041,-0.049,-1.0,-0.649,0.108,-0.499
rest,Rest,6.573,0.542,22.661,508.599,1.749,-0.047,-0.052,-1.0,-0.177,0.072,-0.343
rest,Rest,4.823,0.394,85.986,380.165,1.273,-0.051,-0.057,-1.0,1.084,-0.144,-0.12
rest,Rest,2.698,0.165,67.011,279.898,0.554,-0.054,-0.06,-1.0,0.371,0.129,-0.323
rest,Rest,1.896,0.118,48.076,184.185,0.395,-0.056,-0.062,-1.0,0.43,0.091,-0.344
rest,Rest,1.273,0.084,32.811,109.284,0.282,-0.055,-0.062,-1.0,0.571,0.03,-0.117
rest,Rest,1.216,0.111,21.493,295.37,0.357,-0.053,-0.064,-1.0,0.454,0.22,0.045
rest,Rest,2.599,0.081,13.268,295.693,0.26,-0.049,-0.064,-1.0,0.2,0.188,-0.255
rest,Rest,82.221,0.059,67.08,315.87,0.189,-0.046,-0.064,-1.0,0.21,0.216,-0.204
rest,Rest,221.107,18.047,124.56,354.196,0.138,-0.041,-0.064,-1.0,0.469,0.231,-0.316
rest,Rest,236.471,13.409,101.97,425.45,0.1,-0.036,-0.063,-1.0,0.465,0.311,0.013
rest,Rest,172.93,9.815,74.061,488.374,0.073,-0.03,-0.062,-1.0,0.363,0.473,-0.021
